ZZ 2e 2jet Invariant masses (eV),Leptoquark electron Invariant masses (eV)
394.279106,1717.265205
2464.155031,4601.408377
692.5306756,3192.094182
345.904244,2238.319289
308.6933859,1721.153032
89.61765825,1136.843045
580.5209468,1543.316262
2883.835757,1903.126502
1031.140936,2429.626095
1865.364133,2947.338074
170.0046637,2581.263957
1171.074756,2734.665079
152.9404757,1515.548638
1400.872945,2118.26743
1118.524203,3630.202123
223.4399676,2132.680217
231.6885484,1859.986714
489.7063933,4186.128355
333.5234999,398.7705781
141.8097906,5596.106502
897.2129588,3629.493534
522.8199465,1371.17803
1204.634853,2005.460025
378.0660991,6098.388598
331.6766285,213.0414623
1091.698004,937.1230134
2331.980615,291.2797041
552.4216341,2510.321984
1497.935228,3568.447566
209.5503418,3750.223651
486.5436892,6092.462827
1793.506002,1000.013972
539.3837171,3749.999841
386.2130186,4853.788141
659.9166671,1196.593175
286.642926,1770.353541
272.4189977,2130.053629
203.0489602,10313.98779
1145.540644,1839.883764
114.6323504,344.0130713
224.1575486,228.0193767
951.7340425,3818.454311
604.5542227,2357.753633
598.5487257,906.9354968
386.9864877,2664.947346
686.7351433,3708.520343
741.8057308,13667.92021
2211.7097,1377.709461
745.681049,10093.27913
399.2213571,352.4144362
202.2741873,1313.834611
421.8423416,3726.482459
1330.655646,1456.943877
135.0881988,1947.30563
122.4352839,446.9308075
190.0085148,1466.031459
90.30625644,1587.900298
1945.665628,1833.624484
216.0010235,5482.426456
195.2704296,3213.75412
223.6244283,7578.785649
337.8313915,23071.55686
696.8114038,6500.72953
2155.429391,1734.584161
421.96912,946.1326755
846.4920651,1746.358207
210.638659,807.9899305
105.1503423,258.2644472
501.2195868,23815.87625
769.652013,9344.236909
2084.58092,2996.348567
19.15311385,3625.477377
310.7129258,3453.167251
2280.222537,1410.094683
1100.235778,3547.999408
1431.542517,42969.85106
1001.195099,2996.034666
487.4658633,1755.088998
240.4239953,1387.038947
302.9315017,1815.087933
431.105536,968.6220466
292.4833174,1181.295866
382.1180555,2943.280144
341.9726929,2443.883131
137.0799717,1140.986306
884.9939971,2787.057287
461.6019738,3238.19842
759.1507381,2127.186934
1714.680055,1785.06903
669.4466103,432.638196
2837.393024,6807.39243
263.0743605,4383.733067
112.5571949,4386.50413
188.6492897,6276.620163
698.0600047,7745.350801
481.3470974,7355.073872
314.2423094,1048.283342
110.7213631,35.00563942
319.0707139,2722.118019
1791.463235,29.80428932
941.0906319,427.394305
263.2403498,3887.072553
1512.691445,1842.123097
376.7007711,479.7904549
163.0292722,3581.296549
1252.663114,2741.793417
421.7299579,3252.235484
1152.675815,2085.601345
555.7074948,12225.61981
1287.128277,674.542846
1482.37896,4320.189741
522.5066393,3117.596854
915.7934899,9707.667041
667.0005608,501.902604
1278.234383,2503.977599
779.7652301,1408.154573
954.802717,2381.699842
142.4603212,5243.163265
8225.209421,10387.34764
787.8396592,3601.272436
760.9867727,2269.954201
427.5653637,2145.647119
916.8894068,1493.608443
555.3632537,3452.50763
157.4910434,2639.313382
400.9736577,751.7129006
357.2822134,1124.392427
462.7738131,4609.581731
2219.891349,4873.893114
596.7873268,3182.128692
3688.722074,1254.456529
893.6705861,4860.148948
276.0059516,6247.262594
1014.703839,1236.409681
1117.724978,892.1536295
789.7330234,4555.373727
718.012652,2191.833125
771.8428725,1777.409594
1483.561807,1423.152401
1768.958569,1004.302322
1051.454326,2324.900418
1694.13463,5011.372251
1659.167971,2124.367522
632.073247,4065.656928
893.8249094,4082.578028
2609.848477,11666.9638
3762.203307,2464.729425
3226.136811,2098.706764
540.6615475,2489.921972
2664.179118,4260.221494
141.5382876,11062.78925
567.8640079,637.8756523
333.5418752,1634.900214
504.2410002,3369.15504
822.3803508,5175.753123
371.7457289,3871.588494
734.0783849,4299.020945
173.5450905,2254.486759
373.0280092,16.35450803
872.5591824,1470.557822
809.3876868,13609.42389
326.5011217,11479.19673
5155.467159,2108.386097
1280.249966,295.4006062
269.4561156,3776.100271
193.6939114,6096.626394
552.4439686,794.6991847
652.7334143,3964.60488
341.4872714,2333.530279
8.413917911,3111.146597
570.9188263,1746.142598
5142.596566,7346.64638
1264.05019,1162.770107
818.35124,2276.709584
325.6370704,834.6093623
2515.368319,5340.13837
191.3561114,287.5429999
401.3329984,4703.541259
