Signal ΔR,Background ΔR
1.360450177,2.891731104
3.111641525,3.433182931
2.526173691,0.9540357226
2.859451067,0.9540357226
3.139625191,2.305172062
0.940124331,3.434195737
0.4069939127,4.424082251
4.370894504,4.114409718
1.527191336,2.22932006
2.640784523,2.892222306
3.088981988,3.330315148
2.494064069,3.330315148
2.085143256,3.031310946
2.151745382,0.8504771186
1.81290889,4.242892646
2.774952653,4.242892646
2.971609221,4.425766118
1.735072844,3.848607754
2.076406912,1.99786255
1.421911954,1.939141087
4.963708545,4.440460866
0.3468421963,2.453788744
2.826601127,1.263747105
1.305687386,1.414899774
1.026771361,6.240454043
3.018433398,6.240454043
2.324734621,1.909139102
1.484302391,2.787724283
0.7314045493,1.884986003
0.7283285883,1.821731172
2.725098386,1.821731172
2.725226803,1.216688085
2.864090838,1.120422378
2.179177708,1.40946295
2.328827474,1.390136581
1.643201331,3.865113943
4.730414463,4.085053247
2.275935909,3.360278769
0.6312600525,3.660961899
3.079656425,3.660961899
1.370763068,3.390362938
1.149183953,3.800387568
2.793134473,3.649325008
1.654026499,3.649325008
3.042165848,2.154879428
3.237708096,1.939255357
2.593979952,1.17565559
2.563400504,1.17494335
3.228919601,0.7735262214
3.225315372,0.9624411616
3.463507868,2.150018953
1.624933912,1.892238758
2.091471338,3.740341046
1.569023546,3.740341046
2.92419944,2.972990182
3.03541233,1.821732277
3.238300201,2.489313651
0.9092660056,2.489313651
2.93236073,2.715677866
2.491364137,2.914209616
2.484931442,2.498388611
3.074997631,2.498388611
5.225078456,5.180275304
2.090083134,2.758860052
2.630089997,1.612155014
3.029039099,1.612155014
1.583705175,2.504857104
1.743755435,2.448112569
2.79289828,3.175500137
1.689408636,2.076306499
2.976308802,2.658618443
2.967656928,2.829131988
3.60289647,1.704478047
1.567124866,1.730003283
3.275929531,1.892162879
3.059832018,1.756874239
4.235738933,3.159653715
1.645927466,3.77219824
0.5761124799,3.972336484
1.28790449,3.972336484
2.556724308,1.899215009
2.77340083,1.776369205
2.668834855,3.309180304
4.346967007,2.984308087
6.52184949,2.507338971
1.527416045,3.263533926
0.8299519106,2.794014464
2.66759768,2.794014464
3.248983068,3.012601647
2.633739025,3.631795631
1.37225774,3.556730554
2.684193247,3.556730554
4.116394967,3.79109291
1.749985029,3.302783214
3.160991429,1.977255521
1.050905234,2.292979623
2.90490181,2.755710397
1.038666664,0.9822923716
2.70961918,3.978609895
2.119378557,3.978609895
2.914664932,3.130253929
3.827729446,1.790291672
2.218489154,1.905130606
1.174267273,2.205904818
3.138322156,3.20322499
1.284789713,4.566284216
2.334271306,2.955672172
1.725067766,2.984475468
1.368348344,4.040431029
3.403807038,3.028195206
1.318194982,3.812493655
2.231390254,2.28907919
3.413001374,2.503739858
3.501353014,1.376982439
1.072547224,2.985013277
3.6401026,2.985013277
0.7291919691,2.634607116
2.91064649,1.164078971
1.05777491,1.64815131
1.140829078,1.64815131
3.043517346,1.429837115
3.043987995,1.690784831
0.09970235515,1.120408699
3.042170577,1.120408699
1.229693618,1.191513295
2.426228333,3.208986019
2.74642075,3.996742604
1.872072513,3.996742604
1.334123599,3.012169869
4.892519525,3.574469968
4.190383364,2.608729407
3.594538486,2.082537272
3.362596506,2.672230208
0.8133057832,1.703101311
6.710614306,2.472099036
4.496963883,2.472099036
2.757908004,1.175518478
2.339182118,2.704363742
3.445653232,2.465926397
3.349954128,2.465926397
3.223038797,1.121807635
3.345436375,1.622332498
1.542116685,2.025204739
2.996334004,0.7641207205
3.508398609,1.215590028
2.674109428,1.215590028
2.675144705,3.123111642
2.260448696,2.654979409
1.783557024,2.434752492
4.000392079,3.194956093
1.240754428,2.423727564
3.237120356,2.115492805
3.779544459,2.709104099
0.8566537035,2.257808994
2.262575941,2.257808994
1.185910986,3.437545669
0.6904765865,3.638948169
0.6916420288,5.229746939
0.6615617747,3.971102499
2.520464324,0.964078272
3.280086128,2.512872726
1.786983785,1.347696558
5.020137374,1.347696558
3.162778323,3.992804633
2.124041047,1.579354418
3.457018644,2.061075508
2.522739586,2.067537658
3.030933574,2.131821542
1.533721955,2.036419111
1.436044649,1.774885321
4.123289757,2.037237473
2.596997028,3.23775493
0.1400718748,0.788233671
3.189263435,0.8514685835
0.5928772239,1.782598611
0.5333527138,3.129292315
0.8346328539,0.9144153375
3.175912035,2.291866308
3.24136049,2.291866308
3.6829812,2.477207979
4.539221367,3.019445586
2.604775175,3.111872016
0.4823294545,3.111872016
2.644534304,2.530212767
0.7048582541,3.097212047
3.437019997,2.203456646
1.683524641,2.203456646
1.975046012,2.052271822
3.757471935,4.189505998
0.8745828831,2.734979074
3.052121922,2.734979074
1.682993572,3.090665623
3.402595057,2.103892018
2.366243572,3.673035358
3.170445315,3.706481186
1.164785888,4.663538564
4.702056076,3.257928613
5.201469016,6.735948725
3.890372342,6.735948725
2.338177347,0.9520505909
1.467791923,3.081980347
2.946165742,1.761728309
1.441202355,1.762474209
1.88318276,1.973060033
2.720697647,1.973060033
3.6454592,2.535282962
1.841150763,3.337038852
1.524584633,6.603715789
1.43751347,6.603715789
1.707234189,2.603854267
1.671255784,0.8384396276
3.847263992,1.235559351
2.453639475,2.764682687
1.463943388,3.060956166
4.518815121,2.369704634
2.787555226,3.15626914
1.244346595,2.569632573
4.781008198,2.569632573
2.553856942,2.76617395
2.554245017,0.2970269429
1.459721017,1.810824413
1.459542687,1.688500449
2.583095447,1.762966966
3.007922219,1.762966966
2.697696065,2.763886949
3.204373058,2.868283939
2.431874954,2.514208919
6.310732713,0.6210380347
4.572197134,1.395068702
1.79071533,2.812447589
3.007183586,4.576889801
1.957347186,4.576889801
1.667732778,3.38545819
0.4105087296,2.559403917
4.910747545,2.740710048
2.58814495,2.740710048
3.665096581,1.821102247
2.987952561,1.453134458
2.522515847,0.865855632
1.943781144,0.8652695055
2.422572883,1.391146437
1.976047682,3.056396831
1.71065786,3.2194296
2.513318816,0.3741750971
3.050592133,3.068117496
1.910089698,3.021769
4.540104539,1.864894893
2.359004347,4.230266538
1.360152982,2.765851406
2.259600843,1.63273761
5.003173431,1.887121516
5.342488671,2.199522606
2.284880129,3.934416042
2.420501813,20
2.396370031,3.935944617
3.149860145,1.057108287
2.822178357,2.218695186
3.213167818,3.513061182
3.986047944,1.071730476
1.147428652,1.842360142
1.583625577,2.300507329
1.70713412,1.238214091
2.412684129,1.238214091
1.555280008,2.60075225
0.9059316284,2.258892359
3.222093902,2.939011954
