pT (GeV) Signal,pT (GeV) Background)
2.90555,130.177
593.084,260.354
282.485,34.3413
311.101,58.0302
99.3377,20.7896
407.752,145.527
1134.3,8.88338
251.717,2.05719
668.043,7.01403
0.873499,0.0377204
3.3513,0.0932592
7655.14,50.3694
1647.83,19.9913
52.2423,23.87
159.837,49.873
0.101683,2.65609
0.195942,17.5923
886.582,85.5565
282.558,256.67
192.179,129.514
165.985,100.6
304.132,654.473
253.627,290.877
260.061,61.781
147.076,24.338
154.774,1.88375
279.116,84.4582
127.848,244.846
227.344,16.5788
185.461,135.793
161.483,133.825
159.05,669.127
54.7471,69.4234
86.2882,32.0018
917.328,486.018
204.234,24.0895
77.892,34.6018
24.7736,87.4143
546.011,84.7861
75.4435,763.075
110.305,34.921
474.254,35.8953
351.014,153.715
93.9177,65.8778
165.669,23.6631
4.84356,24.8767
0.775968,90.5461
570,25.3477
174.705,17.1678
158.591,3.38441
45.4846,36.7334
3.52478,293.867
0.357847,17.6736
0.241415,67.4748
445.504,142.97
1076.9,71.4849
239.05,59.8189
243.602,7.90941
287.062,10.7845
319.161,341.493
112.207,113.831
123.811,40.9986
363.051,68.0459
36.5688,88.4738
87.9359,183.373
156.755,24.184
157.118,9.12576
573.922,63.6029
132.102,255.84
106.398,26.5321
379.631,35.6612
933.257,3.80262
148.544,0.0290822
55.6388,0.176819
215.633,156.465
131.769,34.77
245.8,15.7232
185.185,23.2462
1027.22,67.2518
410.839,46.9174
102.414,100.274
285.165,24.191
2239.9,1002.85
216.313,190.197
164.901,5.36888
150.46,52.6844
0.178985,0.384941
0.0556814,0.383409
67.6414,0.336099
243.32,0.168659
46.9131,351.761
65.8736,50.2516
552.182,86.3784
437.79,137.341
52.9434,441.482
109.633,1324.45
559.414,30.1369
235.414,53.4025
158.541,130.525
61.0624,259.701
1836.39,24.6944
777.535,87.572
106.756,0.369699
165.118,0.233249
674.818,109.075
240.608,240.884
161.872,141.134
191.082,30.9962
1.318,761.421
0.422661,605.888
335.496,57.7454
106.717,69.8035
351.284,100.115
122.773,700.807
833.454,54.0098
1111.27,37.7841
354.889,0.347007
114.939,60.362
178.661,192.407
1342.89,65.7883
78.6533,16.8201
220.22,170.691
232.95,42.731
267.904,41.5517
80.9488,34.2789
36.6717,45.3444
18.4302,309.886
1.47888,54.2453
385.105,41.3962
770.732,3.13289
396.735,1.5138
91.8836,92.1443
136.185,27.5464
6114.48,15.3622
70.2213,18.0814
107.079,275.172
528.168,183.448
99.2128,48.244
81.6523,53.2431
101.885,0.0608184
202.166,0.0615184
745.697,10.1517
147.734,25.3792
60.5984,23.4291
0.394853,93.2234
0.00297376,4.44175
62.8755,18.4526
1269.42,900.382
92.8965,42.016
77.2092,68.4337
236.041,624.556
61.0247,251.544
27.6984,79.2407
204.762,40.1167
2524.79,266.834
416.046,44.4723
158.046,38.9696
44.6264,43.7882
0.501348,39.9851
0.060045,201.979
135.661,14.371
389.418,33.4768
62.3788,314.8
189.274,356.897
2188.31,74.9726
286.089,25.5814
123.378,36.4167
53.4231,72.8333
345.295,9.35753
2116.62,109.923
137.586,0.00913736
55.7081,0.0631801
657.233,15.8866
1404.85,290.634
244.025,52.7912
49.3761,111.386
204.566,1160.69
1437.79,145.086
208.577,102.827
153.451,31.6633
193.305,618.223
257.427,113.279
113.012,29.2941
97.6935,2.39218
351.693,113.847
355.438,86.4008
98.4905,45.6548
113,45.1613
0.0036761,2.25446
0.0152959,49.5065
362.156,198.026
171.611,89.0562
186.546,23.8712
166.113,13.9286
1611.36,14.1701
526.637,1190.72
24.9041,198.453
114.987,55.6363
0.209128,20.1386
0.305997,211.271
452.319,739.449
679.216,10.57
59.101,126.758
117.072,433.252
1146.83,1299.76
310.094,42.0804
87.412,57.9469
42.578,233.257
418.757,311.009
2931.63,27.4451
105.546,37.6241
43.4137,6.18935
161.725,6.18935
190.445,63.4216
92.7381,40.9615
30.6209,166.907
575.607,155.479
414.4,1.98329
72.5356,34.2131
63.7404,47.3297
559.538,212.983
490.143,7.83237
155.031,13.7082
123.266,33.1276
366.541,5.52126
894.492,29.6668
101.514,46.1392
83.7899,15.3879
274.959,17.0168
612.083,30.8912
40.8912,3.99999
90.2382,1.5535
0.344806,42.8637
1.0909,54.1831
1928.74,26.7099
672.43,21.1677
198.413,187.98
48.9166,375.959
151.224,66.0773
1225.22,29.1367
28.2122,0.791788
139.528,0.545303
1429.75,41.2306
3443.08,41.2306
64.6061,27.4197
48.8478,35.9538
2.67559,168.617
1512.18,74.9408
498.048,31.102
66.0505,48.3372
98.5321,134.751
1314.6,22.8132
426.871,83.5163
127.079,19.3292
145.5,457.608
0.302306,493.239
0.0863679,61.0891
202.183,35.821
311.719,0.044763
253.425,0.0196769
35.2537,97.2112
856.892,486.056
1393.75,14.0686
127.804,3.02611
211.655,24.3868
337.165,146.321
194.907,3.9243
50.8492,27.5862
111.841,114.108
850.087,36.4259
493.842,122.4
73.5018,26.8477
68.5987,562.921
671.027,187.64
598.275,99.4462
175.791,41.4777
25.3508,32.4457
681.562,194.674
2491.56,119.166
220.874,10.6934
210.446,2.40329
0.486357,65.1581
1.79125,847.055
1084.31,64.0532
1202.52,32.245
20.9537,69.0177
248.988,414.106
951.648,36.2543
